label,message,message_length,word_count,processed_message
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,24,england v macedonia dont miss the goal team news txt ur nation team to 87077 eg england to 87077 tri wale scotland 4txt 1 20 poboxox36504w45wq 16
ham,Is that seriously how you spell his name?,41,8,is that serious how you spell hi name
ham,IÛ÷m going to try for 2 months ha ha only joking,49,11,i m go to tri for 2 month ha ha onli joke
ham,So Ì_ pay first lar... Then when is da stock comin...,53,11,so pay first lar then when is da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,20,aft i finish my lunch then i go str down lor ard 3 smth lor u finish ur lunch alreadi
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,11,ffffffffff alright no way i can meet up with you sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,28,just forc myself to eat a slice i m realli not hungri tho thi suck mark is get worri he know i m sick when i turn down pizza lol
ham,Lol your always so convincing.,30,5,lol your alway so convinc
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,32,did you catch the bu are you fri an egg did you make a tea are you eat your mom s left over dinner do you feel my love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,15,i m back amp we re pack the car now i ll let you know if there s room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,12,ahhh work i vagu rememb that what doe it feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,26,wait that s still not all that clear were you not sure about me be sarcast or that that s whi x doesn t want to live with us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,yeah he got in at 2 and wa v apologet n had fallen out and she wa actin like spoilt child and he got caught up in that till 2 but we won t go there not do too badli cheer you
ham,K tell me anything about you.,29,6,k tell me anyth about you
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,17,for fear of faint with the of all that housework you just did quick have a cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,159,29,thank for your subscript to rington uk your mobil will be charg 5 month pleas confirm by repli ye or no if you repli no you will not be charg
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,123,28,yup ok i go home look at the time then i msg again xuhui go to learn on 2nd may too but her lesson is at 8am
ham,"Oops, I'll let you know when my roommate's done",47,9,oop i ll let you know when my roommat s done
ham,I see the letter B on my car,28,8,i see the letter b on my car
ham,Anything lor... U decide...,27,4,anyth lor u decid
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,30,hello how s you and how did saturday go i wa just text to see if you d decid to do anyth tomo not that i m tri to invit myself or anyth
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,17,pl go ahead with watt i just want to be sure do have a great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,34,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummi
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,33,07732584351 rodger burn msg we tri to call you re your repli to our sm for a free nokia mobil free camcord pleas call now 08000930705 for deliveri tomorrow
ham,WHO ARE YOU SEEING?,19,4,who are you see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,13,great i hope you like your man well endow i am lt gt inch
ham,No calls..messages..missed calls,32,3,no call messag miss call
ham,Didn't you get hep b immunisation in nigeria.,45,8,didn t you get hep b immunis in nigeria
ham,"Fair enough, anything going on?",31,5,fair enough anyth go on
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,14,yeah hope if tyler can t do it i could mayb ask around a bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,30,u don t know how stubborn i am i didn t even want to go to the hospit i kept tell mark i m not a weak sucker hospit are for weak sucker
ham,What you thinked about me. First time you saw me in class.,58,12,what you think about me first time you saw me in class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,23,a gram usual run like lt gt a half eighth is smarter though and get you almost a whole second gram for lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,16,k fyi x ha a ride earli tomorrow morn but he s crash at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",291,55,wow i never realiz that you were so embarass by your accomod i thought you like it sinc i wa do the best i could and you alway seem so happi about the cave i m sorri i didn t and don t have more to give i m sorri i offer i m sorri your room wa so embarass
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,22,sm ac sptv the new jersey devil and the detroit red wing play ice hockey correct or incorrect end repli end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,13,do you know what mallika sherawat did yesterday find out now lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,27,congrat 1 year special cinema pass for 2 is your call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420 ip4 5we 150pm dont miss out
ham,"Sorry, I'll call later in meeting.",34,6,sorri i ll call later in meet
ham,Tell where you reached,22,4,tell where you reach
ham,Yes..gauti and sehwag out of odi series.,40,7,ye gauti and sehwag out of odi seri
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,23,your gon na have to pick up a 1 burger for yourself on your way home i can t even move pain is kill me
ham,Ha ha ha good joke. Girls are situation seekers.,48,9,ha ha ha good joke girl are situat seeker
ham,Its a part of checking IQ,25,6,it a part of check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",56,12,sorri my roommat took forev it ok if i come by now
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,24,ok lar i doubl check wif da hair dresser alreadi he said wun cut v short he said will cut until i look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",153,28,as a valu custom i am pleas to advis you that follow recent review of your mob no you are award with a 1500 bonu prize call 09066364589
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",124,23,today is song dedic day which song will u dedic for me send thi to all ur valuabl frnd but first rpli me
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",161,22,urgent ur award a complimentari trip to eurodisinc trav aco entry41 or 1000 to claim txt di to 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 ls1 3aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",80,15,did you hear about the new divorc barbi it come with all of ken s stuff
ham,I plane to give on this month end.,34,8,i plane to give on thi month end
ham,Wah lucky man... Then can save money... Hee...,46,8,wah lucki man then can save money hee
ham,Finished class where are you.,29,5,finish class where are you
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,10,hi babe im at home now wan na do someth xx
ham,K..k:)where are you?how did you performed?,42,6,k k where are you how did you perform
ham,U can call me now...,20,5,u can call me now
ham,I am waiting machan. Call me once you free.,43,9,i am wait machan call me onc you free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,14,that cool i am a gentleman and will treat you with digniti and respect
ham,I like you peoples very much:) but am very shy pa.,50,11,i like you peopl veri much but am veri shi pa
ham,Does not operate after  &lt;#&gt;  or what,42,7,doe not oper after lt gt or what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,16,it not the same here still look for a job how much do ta s earn there
ham,"Sorry, I'll call later",22,4,sorri i ll call later
ham,K. Did you call me just now ah? ,32,8,k did you call me just now ah
ham,Ok i am on the way to home hi hi,32,10,ok i am on the way to home hi hi
ham,You will be in the place of that man,36,9,you will be in the place of that man
ham,Yup next stop.,14,3,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",55,11,i call you later don t have network if urgnt sm me
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,26,for real when u get on yo i onli need 2 more ticket and one more jacket and i m done i alreadi use all my multi
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,31,ye i start to send request to make it but pain came back so i m back in bed doubl coin at the factori too i got ta cash in all my nitro
ham,I'm really not up to it still tonight babe,42,9,i m realli not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free..",41,7,ela kano il download come wen ur free
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,62,10,yeah do don t stand to close tho you ll catch someth
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,39,sorri to be a pain is it ok if we meet anoth night i spent late afternoon in casualti and that mean i haven t done ani of y stuff42moro and that includ all my time sheet and that sorri
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,26,smile in pleasur smile in pain smile when troubl pour like rain smile when sum1 hurt u smile becoz someon still love to see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,139,23,pleas call our custom servic repres on 0800 169 6031 between 10am 9pm as you have won a guarante 1000 cash or 5000 prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,20,havent plan to buy later i check alreadi lido onli got 530 show in e afternoon u finish work alreadi
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",125,22,your free rington is wait to be collect simpli text the password mix to 85069 to verifi get usher and britney fml
ham,Watching telugu movie..wat abt u?,33,5,watch telugu movi wat abt u
ham,i see. When we finish we have loads of loans to pay,51,12,i see when we finish we have load of loan to pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",184,39,hi wk been ok on hol now ye on for a bit of a run forgot that i have hairdress appoint at four so need to get home n shower beforehand doe that caus prob for u ham
ham,Please don't text me anymore. I have nothing else to say.,57,11,pleas don t text me anymor i have noth els to say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,21,okay name ur price as long as it legal wen can i pick them up y u ave x am xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,16,i m still look for a car to buy and have not gone 4the drive test yet
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,36,wow you re right i didn t mean to do that i guess onc i gave up on boston men and chang my search locat to nyc someth chang cuz on my signin page it still say boston
ham,Umma my life and vava umma love you lot dear,44,10,umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,17,thank a lot for your wish on my birthday thank you for make my birthday truli memor
ham,"Aight, I'll hit you up when I get some cash",43,10,aight i ll hit you up when i get some cash
ham,How would my ip address test that considering my computer isn't a minecraft server,82,14,how would my ip address test that consid my comput isn t a minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,24,i know grumpi old peopl my mom wa like you better not be lie then again i am alway the one to play joke
ham,Dont worry. I guess he's busy.,30,6,dont worri i guess he s busi
ham,What is the plural of the noun research?,40,8,what is the plural of the noun research
ham,Going for dinner.msg you after.,31,5,go for dinner msg you after
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,24,i m ok wif it co i like 2 tri new thing but i scare u dun like mah co u said not too loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,159,27,gent we are tri to contact you last weekend draw show that you won a 1000 prize guarante call 09064012160 claim code k52 valid 12hr onli 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,24,wa ur openin sentenc veri formal anyway i m fine too juz tt i m eatin too much n puttin on weight haha so anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,32,as i enter my cabin my pa said happi b day boss i felt special she askd me 4 lunch after lunch she invit me to her apart we went there
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,153,27,you are a winner u have been special select 2 receiv 1000 or a 4 holiday flight inc speak to a live oper 2 claim 0871277810910p min 18
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,12,goodo ye we must speak friday egg potato ratio for tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,15,hmm my uncl just inform me that he s pay the school directli so pl buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,20,privat your 2004 account statement for 07742676969 show 786 unredeem bonu point to claim call 08719180248 identifi code 45239 expir
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",157,26,urgent your mobil no wa award 2000 bonu caller prize on 5 9 03 thi is our final tri to contact u call from landlin 09064019788 box42wr29c 150ppm
ham,here is my new address -apples&pairs&all that malarky,53,8,here is my new address appl pair all that malarki
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,27,today voda number end 7548 are select to receiv a 350 award if you have a match pleas call 08712300220 quot claim code 4041 standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,52,13,i am go to sao mu today will be done onli at 12
ham,ÌÏ predict wat time Ì_'ll finish buying?,40,7,predict wat time ll finish buy
ham,"Good stuff, will do.",20,4,good stuff will do
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,46,just so that you know yetund hasn t sent money yet i just sent her a text not to bother send so it over you dont have to involv yourself in anyth i shouldn t have impos anyth on you in the first place so for that i apologis
ham,Are you there in room.,22,5,are you there in room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,27,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
ham,K..k:)how much does it cost?,28,5,k k how much doe it cost
ham,I'm home.,9,2,i m home
ham,"Dear, will call Tmorrow.pls accomodate.",39,5,dear will call tmorrow pl accomod
ham,First answer my question.,25,4,first answer my question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,126,25,sunshin quiz wkli q win a top soni dvd player if u know which countri the algarv is in txt ansr to 82277 1 50 sp tyron
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,28,want 2 get laid tonight want real dog locat sent direct 2 ur mob join the uk s largest dog network bt txting gravel to 69888 nt ec2a 31p msg 150p
ham,I only haf msn. It's yijue@hotmail.com,38,6,i onli haf msn it s yiju hotmail com
ham,He is there. You call and meet him,34,8,he is there you call and meet him
ham,No no. I will check all rooms befor activities,46,9,no no i will check all room befor activ
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,32,you ll not rcv ani more msg from the chat svc for free hardcor servic text go to 69988 if u get noth u must age verifi with yr network tri again
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,86,20,got c i lazi to type i forgot in lect i saw a pouch but like not v nice
ham,"K, text me when you're on the way",33,8,k text me when you re on the way
ham,"Sir, Waiting for your mail.",27,5,sir wait for your mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",158,26,a swt thought nver get tire of do littl thing 4 lovabl person coz somtim those littl thing occupi d biggest part in their heart gud ni8
ham,I know you are. Can you pls open the back?,42,10,i know you are can you pl open the back
ham,Yes see ya not on the dot,25,7,ye see ya not on the dot
ham,Whats the staff name who is taking class for us?,48,10,what the staff name who is take class for us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,29,freemsg whi haven t you repli to my text i m randi sexi femal and live local luv to hear from u netcollex ltd 08700621170150p per msg repli stop to end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,15,ummma will call after check in our life will begin from qatar so pl pray veri hard
ham,K..i deleted my contact that why?,33,6,k i delet my contact that whi
ham,Sindu got job in birla soft ..,30,7,sindu got job in birla soft
ham,The wine is flowing and i'm i have nevering..,45,9,the wine is flow and i m i have never
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,59,15,yup i thk cine is better co no need 2 go down 2 plaza mah
ham,Ok... Ur typical reply...,25,4,ok ur typic repli
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",384,80,you are everywher dirt on the floor the window even on my shirt and sometim when i open my mouth you are all that come flow out i dream of my world without you then half my chore are out too a time of joy for me lot of tv show i ll see but i guess like all thing you just must exist like rain hail and mist and when my time here is done you and i becom one
ham,Aaooooright are you at work?,28,5,aaooooright are you at work
ham,I'm leaving my house now...,27,5,i m leav my hous now
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,33,hello my love what are you do did you get to that interview today are you you happi are you be a good boy do you think of me are you miss me
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,124,19,custom servic annonc you have a new year deliveri wait for you pleas call 07046744435 now to arrang deliveri
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,146,27,you are a winner u have been special select 2 receiv 1000 cash or a 4 holiday flight inc speak to a live oper 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,115,24,keep yourself safe for me becaus i need you and i miss you alreadi and i envi everyon that see s you in real life
ham,New car and house for my parents.:)i have only new job in hand:),64,13,new car and hous for my parent i have onli new job in hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,85,19,i m so in love with you i m excit each day i spend with you you make me so happi
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,152,24,pl stop bootydeli 32 f is invit you to be her friend repli ye 434 or no 434 see her www sm ac u bootydeli stop send stop frnd to 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",155,30,bangbab ur order is on the way u should receiv a servic msg 2 download ur content if u do not goto wap bangb tv on ur mobil internet servic menu
ham,I place all ur points on e cultures module already.,51,10,i place all ur point on e cultur modul alreadi
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,157,27,urgent we are tri to contact you last weekend draw show that you have won a 900 prize guarante call 09061701939 claim code s89 valid 12hr onli
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",74,13,hi frnd which is best way to avoid missunderstd wit our belov one s
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,67,13,great escap i fanci the bridg but need her lager see you tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,59,10,ye it complet in out of form clark also utter wast
ham,"Sir, I need AXIS BANK account no and bank address.",50,10,sir i need axi bank account no and bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",94,20,hmmm thk sure got time to hop ard ya can go 4 free abt muz call u to discuss liao
ham,What time you coming down later? ,33,6,what time you come down later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",105,21,bloodi hell cant believ you forgot my surnam mr ill give u a clue it spanish and begin with m
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",61,11,well i m gon na finish my bath now have a good fine night
ham,Let me know when you've got the money so carlos can make the call,65,14,let me know when you ve got the money so carlo can make the call
ham,U still going to the mall?,26,6,u still go to the mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",146,30,turn out my friend are stay for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,66,16,text her if she doesnt repli let me know so i can have her log in
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,126,25,hi you just spoke to maneesha v we d like to know if you were satisfi with the experi repli toll free with ye or no
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,159,31,you lift my hope with the offer of money i am in need especi when the end of the month approach and it hurt my studi anyway have a gr8 weekend
ham,Lol no. U can trust me.,23,6,lol no u can trust me
ham,ok. I am a gentleman and will treat you with dignity and respect.,65,13,ok i am a gentleman and will treat you with digniti and respect
ham,"He will, you guys close?",24,5,he will you guy close
ham,Going on nothing great.bye,26,4,go on noth great bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,152,32,hello handsom are you find that job not be lazi work toward get back that net for mummi where s my boytoy now doe he miss me
ham,"Haha awesome, be there in a minute",34,7,haha awesom be there in a minut
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,149,24,pleas call our custom servic repres on freephon 0808 145 4742 between 9am 11pm as you have won a guarante 1000 cash or 5000 prize
ham,Have you got Xmas radio times. If not i will get it now,55,13,have you got xma radio time if not i will get it now
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,88,19,i ju reach home i go bath first but my si use net tell u when she finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,72,10,are you uniqu enough find out from 30th august www areyouuniqu co uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,185,38,i m sorri i ve join the leagu of peopl that dont keep in touch you mean a great deal to me you have been a friend at all time even at great person cost do have a great week
ham,Hi :)finally i completed the course:),37,6,hi final i complet the cours
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,111,22,it will stop on itself i howev suggest she stay with someon that will be abl to give or for everi stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,92,19,how are you do hope you ve settl in for the new school year just wishin you a gr8 day
ham,Gud mrng dear hav a nice day,28,7,gud mrng dear hav a nice day
ham,Did u got that persons story,28,6,did u got that person stori
